Date,Open,High,Low,Close,Volume,Change
2026-01-14,17660,17710,13400,17710,11748990,
2026-01-15,20100,22500,16540,19980,18929443,0.1281761716544325
2026-01-16,20250,23850,18870,20950,9510381,0.04854854854854862
2026-01-19,21400,27200,21250,24250,8602738,0.15751789976133646
2026-01-20,24950,25400,21700,24100,3477560,-0.006185567010309256
2026-01-21,23250,25900,21400,21550,2786999,-0.10580912863070535
2026-01-22,21800,22350,17920,18360,1912741,-0.1480278422273782
2026-01-23,18530,19960,16660,16700,1997671,-0.09041394335511987
2026-01-26,16700,16890,15390,15490,1292019,-0.07245508982035931
2026-01-27,15490,20100,15250,20100,10096592,0.2976113621691414
2026-01-28,21600,22700,19610,20250,6230765,0.00746268656716409
2026-01-29,21250,22100,18710,18850,2241076,-0.06913580246913575
2026-01-30,18970,21350,18940,20700,2596768,0.09814323607427067
2026-02-02,20900,23650,20000,20750,4989782,0.0024154589371980784
2026-02-03,21450,23200,20750,22250,2333568,0.07228915662650603
2026-02-04,22250,23500,20800,21000,1240212,-0.0561797752808989
2026-02-05,20350,21050,17900,18010,883583,-0.14238095238095239
2026-02-06,17300,17810,16390,16910,538849,-0.061077179344808386
2026-02-09,17240,19990,17240,18450,987787,0.09107037256061501
2026-02-10,18880,20200,18260,18450,489299,0.0
2026-02-11,18480,18870,17600,17710,223775,-0.040108401084010814
2026-02-12,17720,18860,16990,18080,374381,0.020892151326934005
2026-02-13,18120,19500,17440,18250,545049,0.009402654867256555
2026-02-19,17910,18150,16290,16480,849070,-0.09698630136986297
2026-02-20,16790,17200,16280,16700,627959,0.013349514563106846
2026-02-23,16840,17900,16550,17040,620674,0.020359281437125842
2026-02-24,17060,17800,16630,17460,665260,0.02464788732394374
2026-02-25,17670,19940,17350,19450,2328865,0.11397479954180989
2026-02-26,20350,20450,18340,19350,1048313,-0.005141388174807249
2026-02-27,19350,23500,18850,22100,3303141,0.1421188630490957
2026-03-03,21450,26000,21400,23850,2129757,0.07918552036199089
2026-03-04,22900,23000,19120,20550,1160117,-0.1383647798742138
2026-03-05,22150,22750,20350,21200,1296595,0.031630170316301776
2026-03-06,21000,22250,19250,20500,876038,-0.03301886792452835
2026-03-09,19150,19390,17560,18710,393493,-0.08731707317073167
2026-03-10,19250,20800,19250,20250,429492,0.0823089257081775
2026-03-11,20700,21500,18950,19390,676478,-0.04246913580246914
2026-03-12,19200,19900,18750,19550,371772,0.008251676121712181
2026-03-13,19350,20300,18810,19750,519650,0.010230179028132946
2026-03-16,19790,19800,17760,18540,568588,-0.061265822784810076
2026-03-17,18990,18990,17610,17690,370713,-0.045846817691477915
2026-03-18,17890,18290,17710,18050,202868,0.020350480497456136
