Date,Open,High,Low,Close,Volume,Change
2025-11-28,4330,6420,3030,3030,88239870,
2025-12-01,3030,3935,2660,3935,4581290,0.2986798679867986
2025-12-02,4800,5110,4720,5110,926650,0.29860228716645487
2025-12-03,6640,6640,5180,5520,20316998,0.08023483365949113
2025-12-04,5680,5890,4735,4750,5190526,-0.13949275362318836
2025-12-05,4900,4905,4045,4150,2128926,-0.12631578947368416
2025-12-08,4130,4135,3700,4005,1354337,-0.034939759036144546
2025-12-09,3955,4075,3640,3640,906344,-0.09113607990012484
2025-12-10,3630,4195,3630,3660,1714686,0.005494505494505475
2025-12-11,3660,3705,3255,3255,618007,-0.11065573770491799
2025-12-12,3260,3355,2940,2995,554202,-0.07987711213517668
2025-12-15,2170,2630,2100,2100,4687342,-0.2988313856427379
2025-12-16,2155,2160,2010,2030,1369559,-0.033333333333333326
2025-12-17,2035,2035,2005,2010,735570,-0.009852216748768461
2025-12-18,2005,2015,1999,2005,487863,-0.0024875621890547706
2025-12-19,2005,2095,1999,2020,470292,0.007481296758104827
2025-12-22,2010,2025,2005,2010,284735,-0.004950495049504955
2025-12-23,2010,2035,2005,2010,242769,0.0
2025-12-24,2010,2020,2000,2010,286101,0.0
2025-12-26,2010,2015,2000,2005,267377,-0.0024875621890547706
2025-12-29,2005,2020,2000,2010,187495,0.0024937655860348684
2025-12-30,2000,2010,2000,2010,138736,0.0
2026-01-02,2010,2015,2005,2015,107289,0.0024875621890547706
2026-01-05,2010,2015,2005,2015,181390,0.0
2026-01-06,2020,2090,2020,2090,422916,0.037220843672456594
2026-01-07,2090,2105,2065,2080,163224,-0.004784688995215336
2026-01-08,2080,2080,2055,2055,119878,-0.012019230769230727
2026-01-09,2055,2130,2050,2115,201118,0.029197080291970767
2026-01-12,2155,2205,2130,2190,461576,0.03546099290780136
2026-01-13,2180,2185,2125,2175,272822,-0.006849315068493178
2026-01-14,2165,2205,2130,2180,213567,0.0022988505747125743
2026-01-15,2180,2190,2155,2185,113009,0.002293577981651307
2026-01-16,2185,2195,2170,2190,121932,0.0022883295194509046
2026-01-19,2180,2200,2175,2190,147157,0.0
2026-01-20,2200,2210,2175,2205,200514,0.006849315068493178
2026-01-21,2180,2380,2040,2060,1550347,-0.06575963718820865
2026-01-22,2065,2130,2015,2020,650173,-0.01941747572815533
2026-01-23,2050,2050,2015,2030,230831,0.004950495049504955
2026-01-26,2030,2040,2015,2030,215041,0.0
2026-01-27,2025,2030,2020,2030,154903,0.0
2026-01-28,2030,2035,2020,2030,170819,0.0
2026-01-29,2030,2035,2015,2020,143165,-0.0049261083743842304
2026-01-30,2020,2035,2015,2020,187260,0.0
2026-02-02,2015,2050,2010,2050,373968,0.014851485148514865
2026-02-03,2045,2045,2020,2025,169866,-0.012195121951219523
2026-02-04,2020,2030,2015,2025,108965,0.0
2026-02-05,2020,2025,2012,2020,167367,-0.0024691358024691024
2026-02-06,2020,2020,2005,2020,194505,0.0
2026-02-09,2015,2030,2010,2030,138354,0.004950495049504955
2026-02-10,2025,2045,2025,2040,112621,0.0049261083743843415
2026-02-11,2040,2050,2025,2035,84957,-0.002450980392156854
2026-02-12,2035,2065,2035,2065,126398,0.014742014742014753
2026-02-13,2050,2090,2045,2060,139199,-0.002421307506053294
2026-02-19,2050,2075,2050,2075,147203,0.00728155339805836
2026-02-20,2075,2080,2055,2080,71621,0.002409638554216942
2026-02-23,2080,2080,2065,2070,51346,-0.004807692307692291
2026-02-24,2065,2070,2055,2070,61639,0.0
2026-02-25,2070,2075,2060,2070,54328,0.0
2026-02-26,2070,2070,2055,2065,71294,-0.0024154589371980784
2026-02-27,2055,2060,2040,2040,73779,-0.01210653753026636
2026-03-03,2040,2045,2030,2030,86340,-0.004901960784313708
2026-03-04,2030,2030,2005,2005,205272,-0.012315270935960632
2026-03-05,2005,2030,2005,2020,61243,0.007481296758104827
2026-03-06,2020,2025,2015,2020,15699,0.0
2026-03-09,2020,2030,2010,2015,63739,-0.0024752475247524774
2026-03-10,2015,2025,2015,2025,58457,0.00496277915632759
2026-03-11,2015,2025,2010,2015,100507,-0.004938271604938316
2026-03-12,2010,2030,2010,2020,77021,0.002481389578163684
2026-03-13,2020,2025,2015,2025,29977,0.0024752475247524774
2026-03-16,2025,2025,2015,2025,32613,0.0
2026-03-17,2025,2025,2015,2020,27397,-0.0024691358024691024
2026-03-18,2020,2025,2010,2015,43027,-0.0024752475247524774
