Date,Open,High,Low,Close,Volume,Change
2025-12-12,4525,5440,2030,2030,60392777,
2025-12-15,2590,2635,2005,2035,1737789,0.0024630541871921707
2025-12-16,2010,2035,1996,2010,1037376,-0.012285012285012331
2025-12-17,2015,2025,2000,2005,309079,-0.0024875621890547706
2025-12-18,2005,2015,2000,2010,214146,0.0024937655860348684
2025-12-19,2010,2020,2005,2015,125720,0.0024875621890547706
2025-12-22,2015,2030,2005,2005,182901,-0.00496277915632759
2025-12-23,2005,2015,2005,2015,72622,0.004987531172069737
2025-12-24,2015,2020,2010,2010,47033,-0.002481389578163795
2025-12-26,2010,2020,2010,2020,44454,0.004975124378109541
2025-12-29,2005,2020,2000,2005,407742,-0.007425742574257432
2025-12-30,2005,2010,2000,2000,132554,-0.0024937655860348684
2026-01-02,2000,2025,2000,2010,126982,0.004999999999999893
2026-01-05,2010,2035,2005,2015,117691,0.0024875621890547706
2026-01-06,2030,2035,2015,2025,173183,0.00496277915632759
2026-01-07,2025,2035,2020,2030,90333,0.0024691358024691024
2026-01-08,2030,2030,2020,2025,205698,-0.0024630541871921707
2026-01-09,2025,2030,2020,2030,19495,0.0024691358024691024
2026-01-12,2030,2030,2025,2025,12978,-0.0024630541871921707
2026-01-13,2025,2030,2020,2025,15203,0.0
2026-01-14,2025,2030,2020,2025,13266,0.0
2026-01-15,2025,2025,2020,2020,13289,-0.0024691358024691024
2026-01-16,2025,2030,2020,2020,26767,0.0
2026-01-19,2025,2030,2020,2025,27639,0.0024752475247524774
2026-01-20,2025,2030,2020,2030,16807,0.0024691358024691024
2026-01-21,2030,2030,2020,2025,29567,-0.0024630541871921707
2026-01-22,2025,2035,2020,2030,83463,0.0024691358024691024
2026-01-23,2020,2030,2020,2025,42295,-0.0024630541871921707
2026-01-26,2025,2040,2025,2030,46765,0.0024691358024691024
2026-01-27,2030,2040,2025,2035,33723,0.0024630541871921707
2026-01-28,2030,2040,2025,2025,270376,-0.004914004914004955
2026-01-29,2025,2035,2025,2030,12490,0.0024691358024691024
2026-01-30,2025,2050,2025,2040,111208,0.0049261083743843415
2026-02-02,2040,2040,2030,2030,73048,-0.004901960784313708
2026-02-03,2030,2050,2030,2045,38918,0.00738916256157629
2026-02-04,2035,2045,2035,2040,35833,-0.0024449877750610804
2026-02-05,2035,2050,2035,2050,15986,0.004901960784313708
2026-02-06,2050,2050,2035,2040,58251,-0.004878048780487809
2026-02-09,2040,2055,2040,2045,109364,0.002450980392156854
2026-02-10,2045,2055,2035,2045,132705,0.0
2026-02-11,2050,2065,2050,2060,119711,0.007334963325183352
2026-02-12,2060,2060,2050,2060,46181,0.0
2026-02-13,2055,2070,2055,2065,41116,0.0024271844660195274
2026-02-19,2060,2080,2055,2070,85717,0.002421307506053294
2026-02-20,2065,2070,2060,2070,20612,0.0
2026-02-23,2065,2070,2065,2065,12182,-0.0024154589371980784
2026-02-24,2070,2080,2060,2080,24098,0.007263922518159882
2026-02-25,2075,2085,2065,2080,57383,0.0
2026-02-26,2065,2080,2065,2070,15800,-0.004807692307692291
2026-02-27,2080,2080,2070,2075,10154,0.0024154589371980784
2026-03-03,2075,2075,2055,2060,83324,-0.0072289156626506035
2026-03-04,2060,2060,2050,2055,19869,-0.0024271844660194164
2026-03-05,2055,2070,2050,2060,43967,0.0024330900243310083
2026-03-06,2060,2070,2055,2060,2343,0.0
2026-03-09,2060,2060,2055,2055,8963,-0.0024271844660194164
2026-03-10,2055,2070,2050,2060,35667,0.0024330900243310083
2026-03-11,2055,2075,2055,2075,63009,0.00728155339805836
2026-03-12,2075,2085,2075,2080,15669,0.002409638554216942
2026-03-13,2080,2080,2065,2075,2615,-0.0024038461538461453
2026-03-16,2080,2080,2070,2075,889,0.0
2026-03-17,2080,2085,2070,2070,2439,-0.002409638554216831
2026-03-18,2070,2075,2070,2070,1236,0.0
