Date,Open,High,Low,Close,Volume,Change
2026-01-21,4890,8000,4245,7200,81490307,
2026-01-22,7710,9300,5040,5040,17902146,-0.30000000000000004
2026-01-23,4740,6230,3700,4130,14809244,-0.18055555555555558
2026-01-26,4145,5050,3910,4170,3824879,0.009685230024213176
2026-01-27,4460,4650,4095,4110,1352129,-0.014388489208633115
2026-01-28,4220,4350,3760,3810,1213255,-0.07299270072992703
2026-01-29,3750,3865,3290,3370,1484210,-0.115485564304462
2026-01-30,3360,3360,3000,3000,830844,-0.10979228486646886
2026-02-02,2940,3750,2740,3005,3770328,0.0016666666666667052
2026-02-03,3160,3735,3075,3400,3469808,0.13144758735440942
2026-02-04,3400,3830,3400,3475,1261705,0.022058823529411686
2026-02-05,2890,3110,2435,2440,6590412,-0.297841726618705
2026-02-06,2485,2645,2115,2180,1700406,-0.10655737704918034
2026-02-09,2230,2255,2075,2115,968953,-0.029816513761467878
2026-02-10,2165,2170,2065,2115,495045,0.0
2026-02-11,2115,2135,2070,2085,284475,-0.014184397163120588
2026-02-12,2085,2135,2060,2135,391182,0.023980815347721895
2026-02-13,2135,2700,2135,2190,5069564,0.025761124121779888
2026-02-19,2220,2260,2105,2130,617916,-0.0273972602739726
2026-02-20,2160,2205,2135,2140,446462,0.0046948356807512415
2026-02-23,2165,2175,2115,2115,244220,-0.011682242990654235
2026-02-24,2120,2130,2095,2105,303791,-0.004728132387706863
2026-02-25,2110,2115,2065,2075,427526,-0.014251781472684133
2026-02-26,2080,2095,2070,2075,273506,0.0
2026-02-27,2080,2080,2055,2065,230836,-0.004819277108433773
2026-03-03,2060,2065,2025,2030,345134,-0.016949152542372836
2026-03-04,2030,2040,2000,2010,638751,-0.009852216748768461
2026-03-05,2010,2045,2010,2025,260207,0.00746268656716409
2026-03-06,2015,2060,2015,2060,212627,0.01728395061728394
2026-03-09,2060,2060,2020,2045,155975,-0.007281553398058249
2026-03-10,2055,2075,2040,2065,201764,0.009779951100244544
2026-03-11,2065,2065,2040,2050,168723,-0.007263922518159771
2026-03-12,2050,2055,2035,2050,95149,0.0
2026-03-13,2050,2050,2035,2045,77570,-0.0024390243902439046
2026-03-16,2035,2060,2035,2055,139147,0.004889975550122161
2026-03-17,2055,2060,2040,2050,86328,-0.0024330900243308973
2026-03-18,2050,2050,2035,2040,106375,-0.004878048780487809
