Ticker,Market,종목명,등락률,시가,종가,거래량
032820,Market,우리기술,626.15,4035,29300,37915806
187660,Market,현대ADM,577.82,2420,16200,17451892
036170,Market,에이치엠넥스,499.06,851,5080,4594071
221800,Market,유투바이오,418.35,4220,22600,2797507
242040,Market,나무기술,388.69,1446,7130,8084100
412350,Market,레이저쎌,338.22,1854,7660,3826110
047040,Market,대우건설,298.66,3800,14870,30826200
290550,Market,디케이티,179.03,7030,18890,1440613
347700,Market,스피어,170.83,18000,48750,2298664
040160,Market,누리플렉스,167.72,3800,10200,166744
012860,Market,모베이스전자,158.96,1416,3900,7826945
010170,Market,대한광통신,155.17,2755,7030,32622390
331920,Market,셀레믹스,152.17,2735,6960,282163
006800,Market,미래에셋증권,150.73,28576,69900,6915892
272210,Market,한화시스템,138.97,59700,139800,3745839
420770,Market,기가비스,138.21,33550,77300,149077
322000,Market,HD현대에너지솔루션,134.76,58500,131700,2292673
064850,Market,에프앤가이드,130.09,9090,20800,291435
000720,Market,현대건설,127.71,75600,170100,2113826
323350,Market,다원넥스뷰,126.47,5110,11550,590385
365270,Market,큐라클,125.62,8390,18320,534038
327260,Market,RF머트리얼즈,124.14,26250,55700,469149
348340,Market,뉴로메카,117.58,32850,71800,582151
027360,Market,아주IB투자,116.76,3485,7500,12499403
031980,Market,피에스케이홀딩스,114.26,54400,108200,365269
289080,Market,SV인베스트먼트,113.48,1738,3580,2601319
452260,Market,한화갤러리아,112.38,1297,2710,16541571
127120,Market,제이에스링크,111.78,17220,38650,314563
001820,Market,삼화콘덴서,110.98,30050,61500,584432
218410,Market,RFHIC,109.36,38000,78300,877955
321370,Market,센서뷰,108.05,1880,4005,13445590
171090,Market,선익시스템,107.81,53700,106400,268606
056080,Market,유진로봇,107.29,14210,29850,958301
077360,Market,덕산하이메탈,106.83,6520,12720,2463371
229000,Market,젠큐릭스,106.74,1633,3250,7844648
124500,Market,아이티센글로벌,105.52,33300,67000,439348
130660,Market,한전산업,104.02,10630,21300,3913904
036930,Market,주성엔지니어링,102.9,32750,62900,2021534
138080,Market,오이솔루션,101.08,15900,31650,1137313
265740,Market,엔에프씨,99.03,4345,8210,537279
241520,Market,DSC인베스트먼트,98.94,7610,15000,3469164
078600,Market,대주전자재료,96.19,62200,118500,515120
092220,Market,KEC,94.39,745,1421,14881202
052020,Market,에스티큐브,94.05,9360,16300,814351
196450,Market,코아시아씨엠,92.4,831,1545,1303935
222080,Market,씨아이에스,92.4,6970,12910,6260341
005440,Market,현대지에프홀딩스,90.37,8150,15420,1646355
092870,Market,엑시콘,89.58,18000,31850,467564
010820,Market,퍼스텍,86.65,4135,7550,9021151
000440,Market,중앙에너비스,85.64,15800,28700,1921097
011930,Market,신성이엔지,84.68,1666,2990,30951393
046890,Market,서울반도체,84.57,6420,11480,2180894
037350,Market,성도이엔지,83.93,6980,12250,819359
058470,Market,리노공업,81.62,65700,116600,1246728
052690,Market,한전기술,80.42,94900,172300,489077
388790,Market,라이콤,80.07,2800,4970,2302249
189300,Market,인텔리안테크,79.94,70700,127400,241162
006920,Market,모헨즈,78.4,3210,5700,4195769
090710,Market,휴림로봇,77.9,8550,14890,12209522
00680K,Market,미래에셋증권2우B,77.27,12303,21100,1448043
123750,Market,알톤,76.43,1335,2320,198609
178320,Market,서진시스템,75.88,26800,45200,2716763
298020,Market,효성티앤씨,75.72,211500,394500,40814
006340,Market,대원전선,75.5,3815,6520,23155395
010120,Market,LS ELECTRIC,75.18,488000,833000,163053
263750,Market,펄어비스,74.24,37850,65600,964139
009150,Market,삼성전기,73.46,270000,464000,954290
319660,Market,피에스케이,73.38,45600,77500,586020
353200,Market,대덕전자,73.15,45500,74800,1417164
456040,Market,OCI,70.77,58000,95800,77577
120110,Market,코오롱인더,68.45,42050,71000,398752
214370,Market,케어젠,68.34,66300,113800,174417
041920,Market,메디아나,66.86,11760,19890,424249
042700,Market,한미반도체,66.76,194300,311000,1990550
086520,Market,에코프로,66.49,93500,154000,2932652
101490,Market,에스앤에스텍,66.29,55900,88800,353802
100790,Market,미래에셋벤처투자,66.21,14850,24050,2892111
011700,Market,한신기계,66.13,3180,5150,4055296
900290,Market,GRT,65.29,3665,6000,925019
