ticker,name,title,pub_date,link,description,score,target_stock,sentiment_score,sentiment_label,impact_intensity,time_horizon,news_type,key_drivers,trading_signal,reason
090710,휴림로봇,"자동차부품 관련주, '밝고 화창' 에이치엠넥스·영흥·태양금속·KBI메탈...",2026-02-23 18:16,http://www.finomy.com/news/articleView.html?idxno=250134,"반면 모베이스전자, 성우하이텍, 남선알미늄, 대호에이엘, 휴림에이텍, 한라캐스트, 세아메카닉스... 정밀 다이캐스팅 전문 기업 한라캐스트가 휴머노이드 AI 로봇 부품 양산 준비를 마무지며 로봇 산업 본격 진출에... ",0.7,휴림로봇,0.0,Neutral,Low,Mid-term,Rumor,"AI, 로봇",Watch,"휴림로봇 직접적인 언급은 없으나, 로봇 부품 양산 관련 간접적 수혜 기대감이 존재."
090710,휴림로봇,코스닥 '하락'...현대바이오 · 우리기술 · 휴림로봇은 '껑충',2026-02-23 16:28,http://www.choicenews.co.kr/news/articleView.html?idxno=161418,"로봇주 중 휴림로봇(3.01%), 클로봇(2.67%), 삼현(4.37%) 등이 올랐고 레인보우로보틱스(-2.39%), 로보티즈(-2.50%), 현대무벡스(-2.00%), 에스피지(-2.71%), 원익홀딩스(-2.30%), 하이젠알앤엠(-3.26%) 등은 하락했다.... ",0.7,휴림로봇,0.3,Positive,Low,Short-term,Fact,로봇,Watch,"로봇주 전반적인 하락세 속에서 소폭 상승하여 긍정적이지만, 영향력은 낮다고 판단됨."
090710,휴림로봇,"휴림로봇 주가, 2월 23일 14,720원 3.01% 상승 마감",2026-02-23 15:50,https://www.stardailynews.co.kr/news/articleView.html?idxno=525035,"23일 KRX 마감 기준, 네이버페이 증권에 따르면 휴림로봇은 14,720원으로 장을 마감하며 지난 종가 14,290원 대비 430원 상승한 3.01%의 상승률을 기록했다. 이는 활발한 거래가 동반된 결과로 나타났다.... ",0.7,휴림로봇,0.3,약간 긍정적,Low,Short-term,Fact,로봇,Watch,소폭 상승 마감에 대한 단순 사실 보도이므로 단기적 관점에서 관망.
45226K,한화갤러리아우,"거래소, SGC에너지·다원넥스뷰 투자경고종목 지정",2026-02-23 08:04,https://www.pointdaily.co.kr/news/articleView.html?idxno=293782,"동아엘텍, 한화갤러리아우, 현대무벡스, 휴림로봇, 삼미금속, 아모센스, 유디엠텍, 인콘,     한스바이오메드, 삼표시멘트, 네오티스 등 32종목이다. 투자경고종목 제도는 주가가 5일간 60% 이상 오르는 등 단기 급등하는... ",0.7,한화갤러리아우,-0.3,Negative,Medium,Short-term,Fact,,Watch,투자 경고 종목 지정 가능성 언급으로 단기적 불확실성 증가.
45226K,한화갤러리아우,[상대강도과열 종목] 흥국화재 다원넥스뷰 퍼스텍 SK증권 '펄펄 끓네',2026-02-20 16:42,https://www.pinpointnews.co.kr/news/articleView.html?idxno=430944,"이어 다원넥스뷰, 퍼스텍, 한화손해보험, TBH글로벌, SK증권, 동양생명, 우리기술, 대성하이텍, SG&G, 한화갤러리아 등도 급등 대열에 합류했다. 전력·원전·에너지 관련주와 함께 한전산업, 애경산업, 큐라클... ",0.7,한화갤러리아우,0.0,Neutral,Low,Short-term,Rumor,,Ignore,"단순 급등 종목 언급으로, 투자에 미치는 영향 미미."
45226K,한화갤러리아우,[이격도과열 종목] 광동제약 미래에셋생명 보성파워텍 한화생명 '앗~뜨...,2026-02-20 16:36,https://www.pinpointnews.co.kr/news/articleView.html?idxno=430937,"이 밖에 대성하이텍, 아로마티카, SV인베스트먼트, 한화갤러리아, 한전산업, 덕산하이메탈, 큐라클, 오르비텍, 삼양엔씨켐, 영흥 등도 과열 구간에 진입했다. 대형주와 금융지주 역시 예외는 아니었다.... ",0.7,한화갤러리아우,-0.3,Negative,Low,Short-term,Rumor,"과열, 이격도",Watch,주가가 과열 구간에 진입했다는 내용으로 단기적 관점에서 관망 필요.
027360,아주IB투자,'최대 3831억 상장 시총 도전' 아이엠바이오로직스 주목할 점 세 가지,2026-02-23 08:32,https://n.news.naver.com/mnews/article/018/0006222377?sid=101,타임폴리오자산운용 △K2인베스트먼트파트너스 △LSK인베스트먼트 △한국산업은행 △IMM인베스트먼트 △쿼드자산운용 △우신벤처투자 △한국투자증권 △아주IB투자 △신한투자증권 △우리은행 등으로 구성됐다.,0.85,아주IB투자,0.1,Slightly Positive,Low,Short-term,Fact,"바이오, 투자",Watch,아이엠바이오로직스 상장 관련 투자자 구성에 포함되어 단기적인 영향은 미미할 수 있음
027360,아주IB투자,"케이뱅크, 청약 증거금 9.8조 확보…내달 5일 코스피 상장",2026-02-23 18:02,https://www.ajunews.com/view/20260223175802085,아주경제=양보연 기자 byeony@ajunews.com 서울 중구 소재 케이뱅크 본사 전경 [사진=케이뱅크] 국내 1호... 23일 투자은행(IB) 업계에 따르면 케이뱅크는 이달 20일과 23일 진행한 일반 청약을 통해 83만건 상당의 주문을... ,0.7,아주IB투자,0.3,약간 긍정적,Medium,Mid-term,Expectation,"IPO, 케이뱅크",Watch,"케이뱅크 상장이 아주IB투자에 간접적인 영향을 줄 수 있으나, 직접적인 연관성은 낮음"
027360,아주IB투자,"[헬로이슈토크]전남·광주 교육통합, 미래교육의 전환점 될까? - 김대중...",2026-02-23 17:04,http://news.lghellovision.net/news/articleView.html?idxno=535467,그런데 통합이 되면 정부에서 기업에 많은 투자가 예견돼 있고 그러한 것들이 일자리를 만들 수 있고 그리고... 그래서 그러한 미래교실을 그때 박람회 때 저희들이 보여줬는데 그게 아주 좋은 평가를 받았습니다. 그때 그... ,0.7,아주IB투자,0.1,Neutral,Low,Short-term,Rumor,"교육, 미래교실, 투자",Watch,교육 통합 관련 투자 유치 기대감이 아주IB투자에 미치는 영향은 미미할 것으로 예상됨.
101490,에스앤에스텍,'몸값-체력' 괴리…매출·이익 증가율은 10% 안팎,2026-02-23 17:59,https://n.news.naver.com/mnews/article/015/0005254080?sid=101,한미반도체는 차세대 패키징 장비 공장을 지을 계획이다. 극자외선(EUV) 노광 공정 핵심 부품인 블랭크마스크 분야 세계 3대 업체인 에스앤에스텍은 지난해 1000억원을 투자해 EUV 전용 생산라인을 구축했다.,0.9,에스앤에스텍,0.2,Slightly Positive,Medium,Mid-term,Fact,"EUV, 블랭크마스크",Watch,"EUV 블랭크마스크 생산라인 투자로 긍정적이지만, 매출 및 이익 증가율을 고려할 때 신중한 접근 필요."
