ticker,name,collection_date,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
000720,현대건설,2026-01-03,-1.57,29.6,40.0,76835.0,0.0,0.9700000286102296,0.0,71394.0,0.8700000047683716,600.0,-455.64,173.41,274.24,157.5,-81.13,-79.18,1993.97,461.64,-2483.32,3291.45,-2340.69,-960.65,2659.74,-3636.07,959.7
012610,경인양행,2026-01-03,2.77,13.6,60.0,2085.0,13.54,0.8600000143051147,370.0,5828.0,1.0,50.0,-1.11,-4.07,6.1,-5.04,-18.36,26.95,-1.79,-27.29,30.57,-1.19,-28.61,31.2,1.39,-31.99,31.74
00680K,미래에셋증권2우B,2026-01-03,1.96,55.7,40.0,15677.0,0.0,0.0,0.0,0.0,2.180000066757202,250.0,2.99,-14.6,13.54,-87.73,131.84,-42.78,-56.84,170.01,-123.76,9.43,187.12,-178.85,28.03,725.04,-572.47
000990,DB하이텍,2026-01-03,9.02,93.7,75.0,32063.0,13.35,1.559999942779541,5520.0,47181.0,1.6699999570846558,1230.0,-27.61,182.01,-122.25,289.87,237.96,-467.81,307.27,292.18,-537.73,415.12,1274.67,-1606.27,871.44,1642.11,-2476.93
047040,대우건설,2026-01-03,-2.09,76.6,65.0,15544.0,6.56,0.3600000143051147,570.0,10444.0,0.0,0.0,7.36,19.56,-26.29,67.77,39.4,-109.01,104.63,81.39,-187.93,112.84,-37.11,-85.49,142.51,-85.79,-59.99
274090,켄코아에어로스페이스,2026-01-03,5.23,82.1,40.0,2452.0,0.0,1.3200000524520874,0.0,14188.0,0.0,0.0,8.92,8.9,3.07,7.65,-0.89,9.44,8.25,-6.56,14.28,9.31,-12.96,19.72,16.18,8.8,-9.72
006800,미래에셋증권,2026-01-03,5.57,85.2,60.0,139787.0,15.95,1.190000057220459,1545.0,20662.0,1.0099999904632568,250.0,598.06,99.36,-685.92,1086.45,20.42,-1111.88,787.94,-357.34,-414.78,1130.49,-2539.59,1468.59,3281.2,-2638.18,570.09
457190,이수스페셜티케미컬,2026-01-03,-5.24,11.6,60.0,16947.0,156.7,13.8100004196167,358.0,4063.0,0.0,0.0,16.24,-105.42,77.29,3.07,-139.05,133.13,101.7,313.07,-436.2,64.02,263.35,-336.33,158.65,338.59,-403.45
011500,한농화성,2026-01-03,-2.64,29.6,40.0,2253.0,49.01,1.340000033378601,294.0,10781.0,0.4199999868869781,60.0,0.02,-4.01,4.25,-0.15,-5.95,6.27,-0.09,18.11,-18.28,-1.14,2.68,-4.1,-1.57,-6.99,6.15
474170,루미르,2026-01-03,6.52,94.0,40.0,1718.0,0.0,2.799999952316284,0.0,3440.0,0.0,0.0,1.58,13.92,-15.8,9.47,8.66,-18.93,6.64,4.84,-11.95,12.99,-1.98,-12.4,3.45,9.03,-13.18
189300,인텔리안테크,2026-01-03,14.62,100.0,40.0,7320.0,0.0,2.680000066757202,0.0,25493.0,0.1500000059604644,100.0,84.43,-5.77,-88.91,118.02,89.55,-211.42,167.04,98.91,-269.5,74.72,86.21,-162.58,41.31,114.01,-157.66
