ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
058610,에스피지,2026-02-05,148600.0,-4.5,100.0,60.0,32956.0,251.44,12.970000267028809,591.0,11459.0,0.1000000014901161,150.0,-11.1,107.63,-93.18,1545.63,261.87,-1813.38,1508.41,534.32,-2125.03,1894.84,666.47,-2660.16,2177.02,820.54,-3125.38
457190,이수스페셜티케미컬,2026-02-05,105600.0,-13.58,72.1,60.0,31900.0,294.97,25.989999771118164,358.0,4063.0,0.0,0.0,-63.79,73.84,-49.23,44.97,166.7,-188.47,74.04,67.31,-127.52,162.68,530.06,-687.08,188.17,560.8,-743.52
011500,한농화성,2026-02-05,26000.0,0.19,84.4,40.0,4066.0,88.44,2.4100000858306885,294.0,10781.0,0.2300000041723251,60.0,0.6,23.16,-11.46,0.2,24.39,-21.87,0.47,12.54,-9.47,0.22,34.95,-31.88,-0.71,23.66,-22.09
00680K,미래에셋증권2우B,2026-02-05,17110.0,-2.73,90.0,40.0,23386.0,0.0,0.0,0.0,0.0,1.4600000381469729,250.0,92.06,96.08,-142.96,150.68,28.93,-106.52,125.29,-70.8,36.46,134.15,113.47,-170.3,215.19,583.78,-557.83
042700,한미반도체,2026-02-05,193500.0,-4.44,91.0,95.0,184429.0,121.77,33.959999084472656,1589.0,5698.0,0.3700000047683716,720.0,2585.65,-1389.78,-1158.34,2643.2,-611.74,-2049.67,4321.22,1539.2,-5824.6,4871.63,625.64,-5365.11,8145.46,-347.11,-7737.11
012610,경인양행,2026-02-05,4800.0,-3.71,76.2,60.0,1998.0,12.97,0.8199999928474426,370.0,5828.0,1.0399999618530271,50.0,-0.03,-4.72,3.62,-0.14,27.57,-29.55,-2.91,17.39,-15.21,-2.86,-5.31,7.56,-0.25,-8.74,8.16
000050,경방,2026-02-05,12060.0,3.08,17.2,40.0,3306.0,12.73,0.4000000059604645,947.0,30489.0,1.2400000095367432,150.0,2.11,-11.67,59.15,1.67,-2.61,50.3,1.86,1.74,45.56,1.33,-14.23,118.64,-0.34,-15.52,127.07
000720,현대건설,2026-02-05,110000.0,-2.65,57.2,40.0,122491.0,0.0,1.5399999618530271,0.0,71394.0,0.550000011920929,600.0,-178.29,211.22,-37.01,-1180.28,1336.8,-189.25,-1043.94,3534.42,-2517.15,1593.37,3699.0,-5339.89,2567.66,-85.47,-2528.88
000990,DB하이텍,2026-02-05,104400.0,-5.78,84.6,75.0,45419.0,18.91,2.2100000381469727,5520.0,47181.0,1.1799999475479126,1230.0,840.55,-651.86,-188.38,895.73,-499.7,-398.68,1532.66,-395.64,-1079.96,1881.8,-414.74,-1399.4,2583.87,703.57,-3249.7
006800,미래에셋증권,2026-02-05,49600.0,-3.12,27.5,60.0,281275.0,32.1,2.400000095367432,1545.0,20662.0,0.5,250.0,-569.95,-146.84,745.31,-621.4,15.07,606.48,743.89,292.44,-1117.23,1012.12,217.47,-1283.51,3015.14,-2357.06,324.07
