ticker,name,market,close,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note,vcp_mode
024740,한일단조,KOSDAQ,3945,11,"[2.9, 6.2, 5.8, 0.0, 0.7, 3.7, 0.0, 5.9, 2.5, 5.8, 4.0]",3.97,False,5.88,50,60,2390,-39.42,VCP Pattern Detected,Classic
012450,한화에어로스페이스,KOSPI,1434000,9,"[3.6, 17.6, 6.7, 11.4, 17.0, 11.4, 7.5, 16.5, 3.9]",3.86,False,2.97,50,60,1242000,-13.39,VCP Pattern Detected,Classic
272210,한화시스템,KOSPI,162700,8,"[3.5, 15.5, 16.7, 16.5, 7.5, 9.2, 17.6, 5.1]",5.06,False,2.18,40,60,116500,-28.4,VCP Pattern Detected,Classic
028670,팬오션,KOSPI,5000,7,"[14.8, 8.6, 5.5, 3.6, 1.1, 13.4, 9.6]",9.58,False,5.01,40,30,5530,10.6,VCP Pattern Detected,Classic
263750,펄어비스,KOSDAQ,66100,8,"[5.9, 6.8, 9.7, 0.9, 6.6, 5.4, 8.2, 7.9]",7.91,False,2.99,40,30,53700,-18.76,VCP Pattern Detected,Classic
127120,제이에스링크,KOSDAQ,37650,8,"[0.0, 23.5, 20.4, 20.1, 14.3, 10.1, 13.3, 7.7]",7.73,False,0.97,40,30,31050,-17.53,VCP Pattern Detected,Classic
420770,기가비스,KOSDAQ,63200,4,"[18.8, 14.8, 16.3, 11.8]",11.83,False,0.97,40,30,65100,3.01,VCP Pattern Detected,Classic
036170,에이치엠넥스,KOSDAQ,3455,7,"[5.6, 6.5, 5.1, 9.1, 4.7, 21.1, 9.9]",9.9,False,1.78,40,30,1798,-47.96,VCP Pattern Detected,Classic
037350,성도이엔지,KOSDAQ,10330,7,"[5.0, 11.2, 5.5, 6.1, 9.1, 17.3, 7.0]",7.01,False,2.89,40,30,7420,-28.17,VCP Pattern Detected,Classic
047810,한국항공우주,KOSPI,174100,7,"[16.9, 10.9, 7.6, 4.4, 7.3, 6.4, 7.5]",7.54,False,1.47,40,10,171200,-1.67,VCP Pattern Detected,Classic
010950,S-Oil,KOSPI,128700,5,"[4.1, 14.8, 7.1, 7.7, 8.3]",8.33,False,6.33,40,10,120000,-6.76,VCP Pattern Detected,Classic
010820,퍼스텍,KOSPI,8660,9,"[11.0, 9.3, 0.0, 22.9, 6.9, 6.1, 7.8, 10.3, 5.6]",5.58,False,3.89,40,60,4840,-44.11,VCP Pattern Detected,Classic
267250,HD현대,KOSPI,263000,6,"[8.3, 6.8, 16.9, 14.1, 14.1, 12.2]",12.25,False,1.28,20,30,298000,13.31,VCP Pattern Detected,Classic
031980,피에스케이홀딩스,KOSDAQ,116300,7,"[8.2, 17.9, 18.6, 11.8, 7.0, 13.8, 12.7]",12.69,False,1.62,20,30,90600,-22.1,VCP Pattern Detected,Classic
229000,젠큐릭스,KOSDAQ,3740,6,"[13.3, 9.0, 15.2, 9.2, 21.2, 14.1]",14.09,False,3.95,20,30,1860,-50.27,VCP Pattern Detected,Classic
042700,한미반도체,KOSPI,305000,5,"[16.0, 10.4, 9.6, 10.1, 11.3]",11.33,False,1.14,20,10,211000,-30.82,VCP Pattern Detected,Classic
040160,누리플렉스,KOSDAQ,9000,6,"[22.1, 0.0, 13.1, 8.3, 12.6, 15.0]",14.98,False,0.91,20,10,9410,4.56,VCP Pattern Detected,Classic
036930,주성엔지니어링,KOSDAQ,59900,5,"[5.5, 7.2, 17.3, 12.3, 11.6]",11.59,False,2.34,20,30,34950,-41.65,VCP Pattern Detected,Classic
327260,RF머트리얼즈,KOSDAQ,46800,6,"[5.9, 15.2, 22.1, 17.4, 13.1, 11.5]",11.55,False,1.79,20,30,25550,-45.41,VCP Pattern Detected,Classic
900290,GRT,KOSDAQ,6200,7,"[9.0, 5.1, 0.0, 7.8, 9.0, 14.4, 10.5]",10.53,False,2.26,20,30,3895,-37.18,VCP Pattern Detected,Classic
218410,RFHIC,KOSDAQ,63200,8,"[13.4, 15.1, 29.4, 5.1, 9.8, 10.3, 9.0, 10.1]",10.13,False,1.97,20,10,63200,0.0,VCP Pattern Detected,Classic
322000,HD현대에너지솔루션,KOSPI,105900,7,"[13.5, 31.7, 13.6, 10.2, 0.5, 12.8, 13.2]",13.17,False,3.51,20,10,89600,-15.39,VCP Pattern Detected,Classic
084370,유진테크,KOSDAQ,133900,6,"[5.8, 27.1, 11.0, 3.5, 17.6, 13.1]",13.06,False,1.05,20,30,111000,-17.1,VCP Pattern Detected,Classic
319660,피에스케이,KOSDAQ,61000,7,"[10.7, 26.8, 4.1, 10.1, 0.0, 11.5, 12.7]",12.68,False,1.23,20,10,61500,0.82,VCP Pattern Detected,Classic
024060,흥구석유,KOSDAQ,27950,7,"[4.9, 3.6, 6.1, 3.9, 6.1, 17.2, 14.6]",14.62,False,3.23,20,30,15390,-44.94,VCP Pattern Detected,Classic
