ticker,name,market,close,volume,change_pct,contractions_count,contractions_history,last_depth_pct,volume_dry_up,vol_ratio,vcp_score,jump_score,pivot_point,pivot_distance_pct,note,vcp_mode
049800,우진플라임,Market,2545,17673,0.024144869215291687,5,"[9.0, 7.2, 3.9, 32.8, 4.3]",4.3,True,0.17,80,80,2560,0.59,VCP Pattern Detected,Classic
009290,광동제약,Market,9230,674067,0.030133928571428603,6,"[6.8, 2.5, 5.9, 2.7, 31.1, 3.8]",3.8,True,0.32,80,80,9200,-0.33,VCP Pattern Detected,Classic
289080,SV인베스트먼트,Market,3405,579290,0.0,7,"[0.0, 11.3, 9.2, 7.8, 13.9, 29.4, 7.0]",6.97,True,0.45,70,50,3660,7.49,VCP Pattern Detected,Classic
006800,미래에셋증권,Market,67700,3051231,0.014992503748125996,6,"[16.5, 14.5, 9.1, 5.6, 23.2, 6.2]",6.18,True,0.44,70,50,71091,5.01,VCP Pattern Detected,Classic
013520,화승코퍼레이션,Market,2880,198329,0.0176678445229681,7,"[16.4, 5.3, 12.6, 4.8, 4.8, 20.3, 8.7]",8.71,True,0.37,70,50,3100,7.64,VCP Pattern Detected,Classic
009420,한올바이오파마,Market,56500,257456,0.018018018018018056,8,"[6.3, 17.2, 7.8, 25.1, 11.0, 12.5, 20.6, 6.6]",6.62,True,0.63,60,50,57400,1.59,VCP Pattern Detected,Classic
002380,KCC,Market,546000,27972,0.022471910112359605,8,"[10.8, 6.9, 3.0, 6.3, 6.5, 3.8, 27.4, 8.8]",8.75,True,0.76,60,50,560000,2.56,VCP Pattern Detected,Classic
420770,기가비스,Market,78700,67407,0.003826530612244916,5,"[18.8, 14.8, 16.3, 11.8, 9.4]",9.43,True,0.59,60,50,77400,-1.65,VCP Pattern Detected,Classic
127120,제이에스링크,Market,40200,134137,0.02420382165605095,7,"[20.4, 20.1, 14.3, 10.1, 13.3, 7.7, 7.8]",7.76,True,0.68,60,30,41900,4.23,VCP Pattern Detected,Classic
033130,디지틀조선,Market,2885,209533,0.041516245487364545,6,"[2.1, 1.3, 3.3, 19.5, 7.8, 9.2]",9.18,True,0.54,60,30,3050,5.72,VCP Pattern Detected,Classic
033240,자화전자,Market,39100,172323,-0.0012771392081737387,7,"[10.3, 29.0, 5.4, 8.7, 20.7, 29.9, 11.9]",11.94,True,0.47,50,50,44400,13.55,VCP Pattern Detected,Classic
042700,한미반도체,Market,309500,676631,0.008143322475570036,6,"[16.0, 10.4, 9.6, 10.1, 11.3, 10.0]",10.04,True,0.36,50,50,333500,7.75,VCP Pattern Detected,Classic
267250,HD현대,Market,265500,207240,0.01724137931034475,5,"[6.8, 16.9, 14.1, 14.1, 12.4]",12.42,True,0.65,40,50,298000,12.24,VCP Pattern Detected,Classic
388790,라이콤,Market,4305,1758736,-0.06514657980456029,6,"[3.1, 6.4, 4.7, 8.1, 14.3, 10.3]",10.34,True,0.67,40,50,3190,-25.9,VCP Pattern Detected,Classic
240810,원익IPS,Market,125000,427484,0.03391232423490487,6,"[5.8, 20.9, 10.6, 8.8, 19.4, 13.9]",13.93,True,0.51,40,50,137800,10.24,VCP Pattern Detected,Classic
353200,대덕전자,Market,82800,2448893,0.0711513583441139,9,"[11.3, 9.8, 14.9, 3.5, 12.4, 0.0, 4.5, 22.9, 9.7]",9.75,False,1.67,40,30,66700,-19.44,VCP Pattern Detected,Classic
265740,엔에프씨,Market,9000,409121,0.10974106041923548,10,"[12.1, 3.1, 7.4, 29.5, 18.2, 5.3, 5.3, 7.8, 19.2, 13.7]",13.72,True,0.57,40,50,9400,4.44,VCP Pattern Detected,Classic
031980,피에스케이홀딩스,Market,111400,187552,0.04307116104868913,7,"[17.9, 18.6, 11.8, 7.0, 13.8, 12.7, 12.8]",12.79,True,0.62,40,30,117300,5.3,VCP Pattern Detected,Classic
331920,셀레믹스,Market,6840,185779,-0.012987012987012991,5,"[12.6, 7.4, 11.0, 17.1, 10.5]",10.51,True,0.77,40,50,5140,-24.85,VCP Pattern Detected,Classic
040160,누리플렉스,Market,10270,106876,-0.02190476190476187,6,"[22.1, 0.0, 13.1, 8.3, 12.6, 15.0]",14.98,False,0.8,20,10,9410,-8.37,VCP Pattern Detected,Classic
092220,KEC,Market,1407,22108706,0.06188679245283013,9,"[0.0, 21.2, 12.7, 4.3, 5.9, 2.4, 8.1, 15.2, 12.9]",12.89,False,1.15,20,30,1521,8.1,VCP Pattern Detected,Classic
078600,대주전자재료,Market,126200,579922,0.05430242272347541,6,"[12.9, 12.0, 23.6, 10.1, 18.6, 10.8]",10.77,False,0.82,20,30,118800,-5.86,VCP Pattern Detected,Classic
036930,주성엔지니어링,Market,72800,6155538,0.1934426229508197,5,"[7.2, 17.3, 12.3, 11.6, 12.9]",12.86,False,1.15,20,10,70000,-3.85,VCP Pattern Detected,Classic
322000,HD현대에너지솔루션,Market,131000,2405506,-0.038884812912692635,6,"[31.7, 13.6, 10.2, 0.5, 12.8, 13.2]",13.17,False,1.69,20,10,89600,-31.6,VCP Pattern Detected,Classic
036170,에이치엠넥스,Market,4920,1281910,-0.011055276381909507,7,"[6.5, 5.1, 9.1, 4.7, 21.1, 9.9, 10.2]",10.22,False,1.14,20,10,5480,11.38,VCP Pattern Detected,Classic
327260,RF머트리얼즈,Market,73900,813779,0.2214876033057851,6,"[5.9, 15.2, 22.1, 17.4, 13.1, 11.5]",11.55,False,1.64,20,30,25550,-65.43,VCP Pattern Detected,Classic
