ticker,name,collection_date,close,price_change_pct,supply_score,fundamental_score,market_cap,PER,PBR,EPS,BPS,DIV,DPS,기관_5일,외인_5일,개인_5일,기관_15일,외인_15일,개인_15일,기관_30일,외인_30일,개인_30일,기관_50일,외인_50일,개인_50일,기관_100일,외인_100일,개인_100일
000990,DB하이텍,2026-02-10,97400.0,-1.62,50.9,75.0,42199.0,17.57,2.059999942779541,5520.0,47181.0,1.2699999809265137,1230.0,522.68,-658.55,125.86,964.64,-693.3,-273.67,1608.23,-638.62,-945.36,2029.24,-612.17,-1349.82,2692.26,307.18,-2966.41
011500,한농화성,2026-02-10,26250.0,1.74,100.0,40.0,4120.0,89.63,2.440000057220459,294.0,10781.0,0.23000000417232513,60.0,0.91,18.51,-2.38,1.52,46.04,-40.74,1.64,33.16,-26.94,1.85,50.67,-44.63,0.6,43.46,-38.86
012610,경인양행,2026-02-10,4745.0,0.32,100.0,60.0,1973.0,12.81,0.8100000023841858,370.0,5828.0,1.0499999523162842,50.0,-0.48,-0.63,1.45,-0.62,18.91,-18.96,-1.72,23.19,-21.33,-3.25,-0.57,4.74,-0.71,-4.41,5.81
189300,인텔리안테크,2026-02-10,124100.0,-3.35,100.0,40.0,13105.0,0.0,4.789999961853027,0.0,25493.0,0.07999999821186066,100.0,187.26,13.66,-146.3,764.8,-183.53,-521.33,934.25,-106.61,-773.73,1033.33,-42.65,-933.06,951.76,-66.95,-817.92
272210,한화시스템,2026-02-10,101100.0,-3.16,73.7,85.0,191186.0,41.78,7.599999904632568,2422.0,13316.0,0.3499999940395355,350.0,-46.23,81.02,-39.22,147.08,368.07,-537.85,860.31,2256.06,-3127.47,2123.84,3162.45,-5248.08,1411.09,3959.16,-5357.37
056080,유진로봇,2026-02-10,45500.0,21.17,100.0,40.0,17237.0,0.0,48.27000045776367,0.0,952.0,0.0,0.0,38.08,129.07,-169.63,651.43,80.31,-724.79,916.12,99.17,-1012.8,1001.41,145.22,-1153.11,1031.19,130.59,-1168.15
457190,이수스페셜티케미컬,2026-02-10,101500.0,-0.68,0.0,60.0,30661.0,283.52,24.979999542236328,358.0,4063.0,0.0,0.0,-85.64,-95.07,117.46,-89.9,-85.28,96.71,6.87,129.54,-115.84,97.87,528.98,-611.88,119.71,592.46,-699.58
005930,삼성전자,2026-02-10,166800.0,0.24,0.0,60.0,9879876.0,33.72,2.880000114440918,4950.0,57951.0,0.8700000047683716,1446.0,14394.4,-36586.74,14501.61,485.63,-55468.73,37806.78,-636.46,-83133.99,46741.54,15868.73,-78543.08,24931.02,27749.82,14995.77,-85299.51
000720,현대건설,2026-02-10,113600.0,-0.53,84.1,40.0,126277.0,0.0,1.590000033378601,0.0,71394.0,0.5299999713897705,600.0,589.31,-270.34,-337.76,-1048.09,1107.62,-96.18,-616.44,3248.94,-2662.35,1715.58,3328.71,-5088.27,2958.2,-196.53,-2802.85
006800,미래에셋증권,2026-02-10,52800.0,-1.12,0.0,60.0,300839.0,34.34,2.569999933242798,1545.0,20662.0,0.4699999988079071,250.0,-179.18,-367.34,588.61,-567.72,-232.25,779.25,911.38,365.37,-1366.61,1070.78,108.33,-1262.78,2651.27,-2387.88,610.71
00680K,미래에셋증권2우B,2026-02-10,17030.0,0.89,93.1,40.0,23331.0,0.0,0.0,0.0,0.0,1.4600000381469727,250.0,29.54,-14.22,-1.73,140.89,-38.03,-55.11,150.04,-120.91,40.98,102.7,32.76,-68.31,182.41,451.36,-419.29
244920,에이플러스에셋,2026-02-10,13880.0,4.36,100.0,40.0,3138.0,127.34,2.0799999237060547,109.0,6659.0,1.440000057220459,200.0,4.71,16.09,-16.56,-2.67,57.59,-46.6,35.0,110.35,-119.38,88.74,105.18,-182.13,126.74,116.6,-245.22
474170,루미르,2026-02-10,21150.0,-0.94,100.0,40.0,3724.0,0.0,6.079999923706055,0.0,3440.0,0.0,0.0,24.28,52.96,-24.22,39.17,63.45,-30.25,54.7,79.26,-51.46,59.61,62.47,-39.87,56.1,58.53,-32.14
010780,아이에스동서,2026-02-10,29600.0,0.17,90.9,40.0,8920.0,0.0,0.6499999761581421,0.0,45642.0,3.380000114440918,1000.0,65.43,-47.98,-25.91,48.05,-28.57,-26.64,53.3,-3.4,-57.37,88.71,17.47,-114.16,64.61,19.22,-94.36
